date,product_name,our_price,competitor_price,cost,sales_qty,revenue,profit,seasonality
2026-01-01,Молоко 1л,89.0,75.0,55,105,9345.0,3570.0,0.895
2026-01-01,Хлеб ржаной,64.0,56.0,35,78,4992.0,2262.0,0.895
2026-01-01,Масло 200г,136.0,126.0,85,55,7480.0,2805.0,0.895
2026-01-01,Сыр Гауда 200г,213.0,178.0,130,40,8520.0,3320.0,0.895
2026-01-01,Йогурт 250г,75.0,63.0,45,67,5025.0,2010.0,0.895
2026-01-02,Молоко 1л,88.0,83.0,55,142,12496.0,4686.0,1.191
2026-01-02,Хлеб ржаной,64.0,57.0,35,114,7296.0,3306.0,1.191
2026-01-02,Масло 200г,136.0,126.0,85,73,9928.0,3723.0,1.191
2026-01-02,Сыр Гауда 200г,208.0,197.0,130,46,9568.0,3588.0,1.191
2026-01-02,Йогурт 250г,76.0,64.0,45,92,6992.0,2852.0,1.191
2026-01-03,Молоко 1л,90.0,89.0,55,154,13860.0,5390.0,1.337
2026-01-03,Хлеб ржаной,65.0,60.0,35,115,7475.0,3450.0,1.337
2026-01-03,Масло 200г,137.0,128.0,85,77,10549.0,4004.0,1.337
2026-01-03,Сыр Гауда 200г,207.0,192.0,130,45,9315.0,3465.0,1.337
2026-01-03,Йогурт 250г,76.0,74.0,45,95,7220.0,2945.0,1.337
2026-01-04,Молоко 1л,90.0,90.0,55,143,12870.0,5005.0,1.236
2026-01-04,Хлеб ржаной,65.0,68.0,35,106,6890.0,3180.0,1.236
2026-01-04,Масло 200г,134.0,133.0,85,77,10318.0,3773.0,1.236
2026-01-04,Сыр Гауда 200г,213.0,208.0,130,43,9159.0,3569.0,1.236
2026-01-04,Йогурт 250г,76.0,74.0,45,89,6764.0,2759.0,1.236
2026-01-05,Молоко 1л,90.0,81.0,55,97,8730.0,3395.0,0.79
2026-01-05,Хлеб ржаной,64.0,61.0,35,70,4480.0,2030.0,0.79
2026-01-05,Масло 200г,133.0,126.0,85,48,6384.0,2304.0,0.79
2026-01-05,Сыр Гауда 200г,207.0,198.0,130,25,5175.0,1925.0,0.79
2026-01-05,Йогурт 250г,75.0,72.0,45,60,4500.0,1800.0,0.79
2026-01-06,Молоко 1л,89.0,83.0,55,87,7743.0,2958.0,0.739
2026-01-06,Хлеб ржаной,64.0,68.0,35,62,3968.0,1798.0,0.739
2026-01-06,Масло 200г,136.0,134.0,85,45,6120.0,2295.0,0.739
2026-01-06,Сыр Гауда 200г,207.0,212.0,130,28,5796.0,2156.0,0.739
2026-01-06,Йогурт 250г,74.0,72.0,45,58,4292.0,1682.0,0.739
2026-01-07,Молоко 1л,91.0,89.0,55,93,8463.0,3348.0,0.836
2026-01-07,Хлеб ржаной,65.0,65.0,35,85,5525.0,2550.0,0.836
2026-01-07,Масло 200г,137.0,137.0,85,49,6713.0,2548.0,0.836
2026-01-07,Сыр Гауда 200г,208.0,190.0,130,28,5824.0,2184.0,0.836
2026-01-07,Йогурт 250г,74.0,71.0,45,72,5328.0,2088.0,0.836
2026-01-08,Молоко 1л,88.0,93.0,55,102,8976.0,3366.0,0.884
2026-01-08,Хлеб ржаной,66.0,62.0,35,78,5148.0,2418.0,0.884
2026-01-08,Масло 200г,136.0,130.0,85,42,5712.0,2142.0,0.884
2026-01-08,Сыр Гауда 200г,213.0,203.0,130,27,5751.0,2241.0,0.884
2026-01-08,Йогурт 250г,74.0,70.0,45,72,5328.0,2088.0,0.884
2026-01-09,Молоко 1л,89.0,79.0,55,140,12460.0,4760.0,1.176
2026-01-09,Хлеб ржаной,65.0,64.0,35,106,6890.0,3180.0,1.176
2026-01-09,Масло 200г,134.0,120.0,85,69,9246.0,3381.0,1.176
2026-01-09,Сыр Гауда 200г,214.0,195.0,130,42,8988.0,3528.0,1.176
2026-01-09,Йогурт 250г,74.0,65.0,45,85,6290.0,2465.0,1.176
2026-01-10,Молоко 1л,88.0,88.0,55,158,13904.0,5214.0,1.321
2026-01-10,Хлеб ржаной,66.0,63.0,35,113,7458.0,3503.0,1.321
2026-01-10,Масло 200г,133.0,129.0,85,86,11438.0,4128.0,1.321
2026-01-10,Сыр Гауда 200г,214.0,206.0,130,51,10914.0,4284.0,1.321
2026-01-10,Йогурт 250г,76.0,77.0,45,95,7220.0,2945.0,1.321
2026-01-11,Молоко 1л,83.0,90.0,55,166,13778.0,4648.0,1.221
2026-01-11,Хлеб ржаной,62.0,64.0,35,115,7130.0,3105.0,1.221
2026-01-11,Масло 200г,127.0,134.0,85,79,10033.0,3318.0,1.221
2026-01-11,Сыр Гауда 200г,196.0,203.0,130,60,11760.0,3960.0,1.221
2026-01-11,Йогурт 250г,71.0,78.0,45,111,7881.0,2886.0,1.221
2026-01-12,Молоко 1л,86.0,84.0,55,103,8858.0,3193.0,0.78
2026-01-12,Хлеб ржаной,62.0,60.0,35,69,4278.0,1863.0,0.78
2026-01-12,Масло 200г,130.0,139.0,85,49,6370.0,2205.0,0.78
2026-01-12,Сыр Гауда 200г,198.0,209.0,130,37,7326.0,2516.0,0.78
2026-01-12,Йогурт 250г,72.0,69.0,45,70,5040.0,1890.0,0.78
2026-01-13,Молоко 1л,85.0,87.0,55,92,7820.0,2760.0,0.73
2026-01-13,Хлеб ржаной,62.0,64.0,35,69,4278.0,1863.0,0.73
2026-01-13,Масло 200г,126.0,128.0,85,44,5544.0,1804.0,0.73
2026-01-13,Сыр Гауда 200г,196.0,218.0,130,28,5488.0,1848.0,0.73
2026-01-13,Йогурт 250г,72.0,77.0,45,66,4752.0,1782.0,0.73
2026-01-14,Молоко 1л,84.0,81.0,55,115,9660.0,3335.0,0.826
2026-01-14,Хлеб ржаной,63.0,68.0,35,77,4851.0,2156.0,0.826
2026-01-14,Масло 200г,126.0,131.0,85,62,7812.0,2542.0,0.826
2026-01-14,Сыр Гауда 200г,196.0,213.0,130,40,7840.0,2640.0,0.826
2026-01-14,Йогурт 250г,72.0,69.0,45,66,4752.0,1782.0,0.826
2026-01-15,Молоко 1л,84.0,87.0,55,117,9828.0,3393.0,0.873
2026-01-15,Хлеб ржаной,61.0,67.0,35,93,5673.0,2418.0,0.873
2026-01-15,Масло 200г,128.0,126.0,85,58,7424.0,2494.0,0.873
2026-01-15,Сыр Гауда 200г,200.0,212.0,130,47,9400.0,3290.0,0.873
2026-01-15,Йогурт 250г,70.0,71.0,45,64,4480.0,1600.0,0.873
2026-01-16,Молоко 1л,86.0,84.0,55,151,12986.0,4681.0,1.162
2026-01-16,Хлеб ржаной,62.0,60.0,35,110,6820.0,2970.0,1.162
2026-01-16,Масло 200г,126.0,120.0,85,77,9702.0,3157.0,1.162
2026-01-16,Сыр Гауда 200г,198.0,197.0,130,53,10494.0,3604.0,1.162
2026-01-16,Йогурт 250г,70.0,66.0,45,91,6370.0,2275.0,1.162
2026-01-17,Молоко 1л,83.0,89.0,55,175,14525.0,4900.0,1.306
2026-01-17,Хлеб ржаной,61.0,67.0,35,129,7869.0,3354.0,1.306
2026-01-17,Масло 200г,130.0,123.0,85,90,11700.0,4050.0,1.306
2026-01-17,Сыр Гауда 200г,197.0,210.0,130,58,11426.0,3886.0,1.306
2026-01-17,Йогурт 250г,70.0,69.0,45,111,7770.0,2775.0,1.306
2026-01-18,Молоко 1л,86.0,88.0,55,151,12986.0,4681.0,1.207
2026-01-18,Хлеб ржаной,62.0,66.0,35,120,7440.0,3240.0,1.207
2026-01-18,Масло 200г,130.0,125.0,85,79,10270.0,3555.0,1.207
2026-01-18,Сыр Гауда 200г,196.0,203.0,130,54,10584.0,3564.0,1.207
2026-01-18,Йогурт 250г,71.0,73.0,45,107,7597.0,2782.0,1.207
2026-01-19,Молоко 1л,85.0,89.0,55,100,8500.0,3000.0,0.771
2026-01-19,Хлеб ржаной,63.0,59.0,35,76,4788.0,2128.0,0.771
2026-01-19,Масло 200г,128.0,128.0,85,48,6144.0,2064.0,0.771
2026-01-19,Сыр Гауда 200г,202.0,197.0,130,32,6464.0,2304.0,0.771
2026-01-19,Йогурт 250г,70.0,73.0,45,66,4620.0,1650.0,0.771
2026-01-20,Молоко 1л,84.0,84.0,55,88,7392.0,2552.0,0.722
2026-01-20,Хлеб ржаной,61.0,68.0,35,72,4392.0,1872.0,0.722
2026-01-20,Масло 200г,128.0,139.0,85,49,6272.0,2107.0,0.722
2026-01-20,Сыр Гауда 200г,200.0,191.0,130,32,6400.0,2240.0,0.722
2026-01-20,Йогурт 250г,73.0,77.0,45,59,4307.0,1652.0,0.722
2026-01-21,Молоко 1л,95.0,92.0,55,78,7410.0,3120.0,0.817
2026-01-21,Хлеб ржаной,69.0,60.0,35,63,4347.0,2142.0,0.817
2026-01-21,Масло 200г,142.0,126.0,85,40,5680.0,2280.0,0.817
2026-01-21,Сыр Гауда 200г,220.0,191.0,130,24,5280.0,2160.0,0.817
2026-01-21,Йогурт 250г,78.0,79.0,45,60,4680.0,1980.0,0.817
2026-01-22,Молоко 1л,93.0,91.0,55,97,9021.0,3686.0,0.863
2026-01-22,Хлеб ржаной,68.0,63.0,35,81,5508.0,2673.0,0.863
2026-01-22,Масло 200г,144.0,142.0,85,45,6480.0,2655.0,0.863
2026-01-22,Сыр Гауда 200г,221.0,212.0,130,31,6851.0,2821.0,0.863
2026-01-22,Йогурт 250г,78.0,71.0,45,63,4914.0,2079.0,0.863
2026-01-23,Молоко 1л,95.0,83.0,55,107,10165.0,4280.0,1.149
2026-01-23,Хлеб ржаной,68.0,63.0,35,95,6460.0,3135.0,1.149
2026-01-23,Масло 200г,139.0,127.0,85,63,8757.0,3402.0,1.149
2026-01-23,Сыр Гауда 200г,221.0,205.0,130,51,11271.0,4641.0,1.149
2026-01-23,Йогурт 250г,78.0,74.0,45,84,6552.0,2772.0,1.149
2026-01-24,Молоко 1л,92.0,83.0,55,143,13156.0,5291.0,1.291
2026-01-24,Хлеб ржаной,69.0,65.0,35,105,7245.0,3570.0,1.291
2026-01-24,Масло 200г,140.0,124.0,85,63,8820.0,3465.0,1.291
2026-01-24,Сыр Гауда 200г,224.0,197.0,130,47,10528.0,4418.0,1.291
2026-01-24,Йогурт 250г,79.0,74.0,45,96,7584.0,3264.0,1.291
2026-01-25,Молоко 1л,93.0,88.0,55,133,12369.0,5054.0,1.193
2026-01-25,Хлеб ржаной,68.0,68.0,35,96,6528.0,3168.0,1.193
2026-01-25,Масло 200г,140.0,136.0,85,72,10080.0,3960.0,1.193
2026-01-25,Сыр Гауда 200г,218.0,201.0,130,35,7630.0,3080.0,1.193
2026-01-25,Йогурт 250г,79.0,71.0,45,88,6952.0,2992.0,1.193
2026-01-26,Молоко 1л,93.0,90.0,55,94,8742.0,3572.0,0.762
2026-01-26,Хлеб ржаной,67.0,63.0,35,60,4020.0,1920.0,0.762
2026-01-26,Масло 200г,145.0,142.0,85,36,5220.0,2160.0,0.762
2026-01-26,Сыр Гауда 200г,217.0,196.0,130,28,6076.0,2436.0,0.762
2026-01-26,Йогурт 250г,78.0,78.0,45,55,4290.0,1815.0,0.762
2026-01-27,Молоко 1л,95.0,92.0,55,67,6365.0,2680.0,0.714
2026-01-27,Хлеб ржаной,68.0,60.0,35,59,4012.0,1947.0,0.714
2026-01-27,Масло 200г,144.0,136.0,85,31,4464.0,1829.0,0.714
2026-01-27,Сыр Гауда 200г,221.0,220.0,130,27,5967.0,2457.0,0.714
2026-01-27,Йогурт 250г,79.0,68.0,45,45,3555.0,1530.0,0.714
2026-01-28,Молоко 1л,95.0,84.0,55,90,8550.0,3600.0,0.807
2026-01-28,Хлеб ржаной,69.0,68.0,35,63,4347.0,2142.0,0.807
2026-01-28,Масло 200г,140.0,124.0,85,42,5880.0,2310.0,0.807
2026-01-28,Сыр Гауда 200г,217.0,206.0,130,33,7161.0,2871.0,0.807
2026-01-28,Йогурт 250г,78.0,74.0,45,53,4134.0,1749.0,0.807
2026-01-29,Молоко 1л,94.0,83.0,55,90,8460.0,3510.0,0.854
2026-01-29,Хлеб ржаной,69.0,61.0,35,75,5175.0,2550.0,0.854
2026-01-29,Масло 200г,142.0,140.0,85,37,5254.0,2109.0,0.854
2026-01-29,Сыр Гауда 200г,224.0,192.0,130,28,6272.0,2632.0,0.854
2026-01-29,Йогурт 250г,79.0,71.0,45,62,4898.0,2108.0,0.854
2026-01-30,Молоко 1л,92.0,86.0,55,129,11868.0,4773.0,1.136
2026-01-30,Хлеб ржаной,69.0,58.0,35,83,5727.0,2822.0,1.136
2026-01-30,Масло 200г,143.0,126.0,85,51,7293.0,2958.0,1.136
2026-01-30,Сыр Гауда 200г,220.0,180.0,130,40,8800.0,3600.0,1.136
2026-01-30,Йогурт 250г,77.0,74.0,45,87,6699.0,2784.0,1.136
2026-01-31,Молоко 1л,90.0,87.0,55,150,13500.0,5250.0,1.276
2026-01-31,Хлеб ржаной,66.0,64.0,35,113,7458.0,3503.0,1.276
2026-01-31,Масло 200г,133.0,124.0,85,74,9842.0,3552.0,1.276
